node_id,in_degree,out_degree,total_degree,undirected_degree
1376,11,11,22,11
1377,10,10,20,10
1379,7,7,14,7
1380,47,47,94,47
1381,21,21,42,21
1382,11,11,22,11
1383,7,7,14,7
1384,33,33,66,33
1385,17,17,34,17
1387,110,110,220,110
1388,38,38,76,38
1389,84,84,168,84
1390,48,48,96,48
1391,13,13,26,13
1392,72,72,144,72
1393,49,49,98,49
1394,33,33,66,33
1395,66,66,132,66
1396,70,70,140,70
1397,41,41,82,41
1399,14,14,28,14
1401,102,102,204,102
1403,8,8,16,8
1404,16,16,32,16
1406,41,41,82,41
1408,67,67,134,67
1409,20,20,40,20
1410,26,26,52,26
1411,8,8,16,8
1413,34,34,68,34
1414,13,13,26,13
1416,20,20,40,20
1418,5,5,10,5
1419,63,63,126,63
1420,30,30,60,30
1421,33,33,66,33
1422,68,68,136,68
1423,19,19,38,19
1424,80,80,160,80
1425,63,63,126,63
1426,48,48,96,48
1427,7,7,14,7
1428,85,85,170,85
1429,31,31,62,31
1430,136,136,272,136
1432,15,15,30,15
1433,11,11,22,11
1434,24,24,48,24
1435,14,14,28,14
1436,31,31,62,31
1437,4,4,8,4
1438,95,95,190,95
1439,119,119,238,119
1441,22,22,44,22
1442,27,27,54,27
1443,268,268,536,268
1448,24,24,48,24
1449,5,5,10,5
1453,9,9,18,9
1454,6,6,12,6
1455,54,54,108,54
1457,5,5,10,5
1458,114,114,228,114
1459,109,109,218,109
1461,76,76,152,76
1464,92,92,184,92
1465,30,30,60,30
1466,13,13,26,13
1467,5,5,10,5
1468,7,7,14,7
1470,98,98,196,98
1471,133,133,266,133
1472,56,56,112,56
1473,7,7,14,7
1474,7,7,14,7
1475,17,17,34,17
1476,104,104,208,104
1477,31,31,62,31
1478,222,222,444,222
1479,50,50,100,50
1481,70,70,140,70
1482,6,6,12,6
1483,26,26,52,26
1484,33,33,66,33
1485,33,33,66,33
1486,33,33,66,33
1487,56,56,112,56
1488,11,11,22,11
1490,15,15,30,15
1491,9,9,18,9
1492,6,6,12,6
1493,12,12,24,12
1494,6,6,12,6
1495,6,6,12,6
1496,6,6,12,6
1498,11,11,22,11
1499,21,21,42,21
1500,7,7,14,7
1502,10,10,20,10
1504,68,68,136,68
1507,227,227,454,227
1508,22,22,44,22
1510,6,6,12,6
1511,9,9,18,9
1513,23,23,46,23
1514,14,14,28,14
1515,42,42,84,42
1516,12,12,24,12
1517,51,51,102,51
1519,24,24,48,24
1521,8,8,16,8
1523,6,6,12,6
1524,43,43,86,43
1526,11,11,22,11
1527,81,81,162,81
1528,272,272,544,272
1529,20,20,40,20
1531,10,10,20,10
1532,10,10,20,10
1533,7,7,14,7
1535,30,30,60,30
1537,7,7,14,7
1538,52,52,104,52
1539,12,12,24,12
1541,57,57,114,57
1542,8,8,16,8
1543,26,26,52,26
1544,43,43,86,43
1545,18,18,36,18
1546,62,62,124,62
1547,25,25,50,25
1548,45,45,90,45
1549,56,56,112,56
1550,34,34,68,34
1551,16,16,32,16
1552,126,126,252,126
1553,20,20,40,20
1554,9,9,18,9
1555,74,74,148,74
1558,83,83,166,83
1559,148,148,296,148
1560,102,102,204,102
1562,84,84,168,84
1563,6,6,12,6
1564,6,6,12,6
1565,47,47,94,47
1566,162,162,324,162
1568,70,70,140,70
1569,34,34,68,34
1572,73,73,146,73
1573,13,13,26,13
1574,42,42,84,42
1578,31,31,62,31
1579,26,26,52,26
1584,23,23,46,23
1585,35,35,70,35
1586,90,90,180,90
1588,118,118,236,118
1592,72,72,144,72
1593,8,8,16,8
